,name,nDCG@10,RR@10,R@10,R@100,P@10,P@100,SetP
0,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7fdbdbae9460>),0.29024036270876163,0.1999420634920635,0.588,0.856,0.058800000000000296,0.008559999999999906,0.0009600000000000008
1,TerrierRetr(BM25),0.31344852415894875,0.20430793650793658,0.68,0.93,0.06800000000000042,0.00929999999999989,0.0009840000000000007
2,"(TerrierRetr(BM25) >> RankCutoff(50) >> QueryExpansion(/home/obez/InformationRetrieval/indices/arguana_bm25_index/data.properties,3,10,<org.terrier.querying.QueryExpansion at 0x7fdbb416b890 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x121d226a at 0x7fdb5eff6790>>) >> TerrierRetr(BM25))",0.299588513348066,0.19518650793650796,0.65,0.94,0.06500000000000038,0.009399999999999888,0.0009840000000000007
3,"(TerrierRetr(BM25) >> RankCutoff(50) >> QueryExpansion(/home/obez/InformationRetrieval/indices/arguana_bm25_index/data.properties,3,10,<org.terrier.querying.QueryExpansion at 0x7fdbb416b070 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x121d229a at 0x7fdb5eff7970>>) >> TerrierRetr(BM25))",0.2983060995649401,0.19516269841269848,0.644,0.936,0.06440000000000037,0.00935999999999989,0.0009840000000000007
