,name,qid,measure,value
270,TerrierRetr(BM25),test-economy-epegiahsc-con03a,R@10,1.0
271,TerrierRetr(BM25),test-economy-epegiahsc-con03a,R@100,1.0
272,TerrierRetr(BM25),test-economy-epegiahsc-con03a,RR@10,0.2
327,TerrierRetr(BM25),test-economy-epehwmrbals-pro05a,R@10,0.0
328,TerrierRetr(BM25),test-economy-epehwmrbals-pro05a,R@100,1.0
329,TerrierRetr(BM25),test-economy-epehwmrbals-pro05a,RR@10,0.0
264,TerrierRetr(BM25),test-economy-epiasghbf-con01a,R@10,0.0
265,TerrierRetr(BM25),test-economy-epiasghbf-con01a,R@100,1.0
266,TerrierRetr(BM25),test-economy-epiasghbf-con01a,RR@10,0.1
261,TerrierRetr(BM25),test-economy-epiasghbf-con03a,R@10,1.0
262,TerrierRetr(BM25),test-economy-epiasghbf-con03a,R@100,1.0
263,TerrierRetr(BM25),test-economy-epiasghbf-con03a,RR@10,0.3333333333333333
258,TerrierRetr(BM25),test-economy-epiasghbf-con04a,R@10,0.0
259,TerrierRetr(BM25),test-economy-epiasghbf-con04a,R@100,0.0
260,TerrierRetr(BM25),test-economy-epiasghbf-con04a,RR@10,0.0
255,TerrierRetr(BM25),test-economy-epiasghbf-pro03a,R@10,0.0
256,TerrierRetr(BM25),test-economy-epiasghbf-pro03a,R@100,1.0
257,TerrierRetr(BM25),test-economy-epiasghbf-pro03a,RR@10,0.0
324,TerrierRetr(BM25),test-economy-eptpghdtre-con01a,R@10,0.0
325,TerrierRetr(BM25),test-economy-eptpghdtre-con01a,R@100,0.0
326,TerrierRetr(BM25),test-economy-eptpghdtre-con01a,RR@10,0.0
321,TerrierRetr(BM25),test-economy-eptpghdtre-con02a,R@10,0.0
322,TerrierRetr(BM25),test-economy-eptpghdtre-con02a,R@100,0.0
323,TerrierRetr(BM25),test-economy-eptpghdtre-con02a,RR@10,0.0
312,TerrierRetr(BM25),test-economy-eptpghdtre-pro01a,R@10,1.0
313,TerrierRetr(BM25),test-economy-eptpghdtre-pro01a,R@100,1.0
314,TerrierRetr(BM25),test-economy-eptpghdtre-pro01a,RR@10,0.25
309,TerrierRetr(BM25),test-economy-eptpghdtre-pro02a,R@10,1.0
310,TerrierRetr(BM25),test-economy-eptpghdtre-pro02a,R@100,1.0
311,TerrierRetr(BM25),test-economy-eptpghdtre-pro02a,RR@10,0.5
315,TerrierRetr(BM25),test-economy-eptpghdtre-pro03a,R@10,0.0
316,TerrierRetr(BM25),test-economy-eptpghdtre-pro03a,R@100,0.0
317,TerrierRetr(BM25),test-economy-eptpghdtre-pro03a,RR@10,0.0
318,TerrierRetr(BM25),test-economy-eptpghdtre-pro04a,R@10,1.0
319,TerrierRetr(BM25),test-economy-eptpghdtre-pro04a,R@100,1.0
320,TerrierRetr(BM25),test-economy-eptpghdtre-pro04a,RR@10,0.5
303,TerrierRetr(BM25),test-economy-fiahwpamu-con02a,R@10,1.0
304,TerrierRetr(BM25),test-economy-fiahwpamu-con02a,R@100,1.0
305,TerrierRetr(BM25),test-economy-fiahwpamu-con02a,RR@10,0.5
306,TerrierRetr(BM25),test-economy-fiahwpamu-con03a,R@10,1.0
307,TerrierRetr(BM25),test-economy-fiahwpamu-con03a,R@100,1.0
