,name,nDCG@10,RR@10,R@10,R@100,P@10,P@100,SetP
0,TerrierRetr(BM25),0.3241430168625558,0.20765639589169002,0.7,0.9294117647058824,0.06999999999999984,0.009294117647058831,0.0009882352941176478
1,"(TerrierRetr(BM25) >> RankCutoff(50) >> QueryExpansion(/home/obez/InformationRetrieval/indices/arguana_bm25_index/data.properties,3,10,<org.terrier.querying.QueryExpansion at 0x7f96427ae1c0 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x471ba31a at 0x7f96424a8950>>) >> TerrierRetr(BM25))",0.31197754367238517,0.19923902894491122,0.6764705882352942,0.9352941176470588,0.06764705882352927,0.009352941176470595,0.0009882352941176478
2,"(TerrierRetr(BM25) >> RankCutoff(50) >> QueryExpansion(/home/obez/InformationRetrieval/indices/arguana_bm25_index/data.properties,3,10,<org.terrier.querying.QueryExpansion at 0x7f96427ab570 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x471ba38a at 0x7f96424a8f30>>) >> TerrierRetr(BM25))",0.31351574259481224,0.2008706816059757,0.6764705882352942,0.9235294117647059,0.06764705882352927,0.009235294117647065,0.0009882352941176478
3,(TctColBert('castorini/tct_colbert-v2-hnp-msmarco') >> <pyterrier_dr.indexes.NumpyIndex object at 0x7f964298f710>),0.30136338257065676,0.19647058823529406,0.6294117647058823,0.8294117647058824,0.06294117647058811,0.00829411764705883,0.0009470588235294125
