,name,qid,measure,value
223,TerrierRetr(BM25),test-economy-epegiahsc-pro02a,R@100,1.0
224,TerrierRetr(BM25),test-economy-epegiahsc-pro02a,RR@10,0.3333333333333333
228,TerrierRetr(BM25),test-economy-epegiahsc-pro03a,R@10,1.0
229,TerrierRetr(BM25),test-economy-epegiahsc-pro03a,R@100,1.0
230,TerrierRetr(BM25),test-economy-epegiahsc-pro03a,RR@10,0.1111111111111111
285,TerrierRetr(BM25),test-economy-epehwmrbals-con02a,R@10,0.0
286,TerrierRetr(BM25),test-economy-epehwmrbals-con02a,R@100,1.0
287,TerrierRetr(BM25),test-economy-epehwmrbals-con02a,RR@10,0.0
288,TerrierRetr(BM25),test-economy-epehwmrbals-con04a,R@10,1.0
289,TerrierRetr(BM25),test-economy-epehwmrbals-con04a,R@100,1.0
290,TerrierRetr(BM25),test-economy-epehwmrbals-con04a,RR@10,0.5
279,TerrierRetr(BM25),test-economy-epehwmrbals-pro03a,R@10,0.0
280,TerrierRetr(BM25),test-economy-epehwmrbals-pro03a,R@100,1.0
281,TerrierRetr(BM25),test-economy-epehwmrbals-pro03a,RR@10,0.0
282,TerrierRetr(BM25),test-economy-epehwmrbals-pro04a,R@10,1.0
283,TerrierRetr(BM25),test-economy-epehwmrbals-pro04a,R@100,1.0
284,TerrierRetr(BM25),test-economy-epehwmrbals-pro04a,RR@10,0.5
219,TerrierRetr(BM25),test-economy-epiasghbf-con02a,R@10,1.0
220,TerrierRetr(BM25),test-economy-epiasghbf-con02a,R@100,1.0
221,TerrierRetr(BM25),test-economy-epiasghbf-con02a,RR@10,0.125
216,TerrierRetr(BM25),test-economy-epiasghbf-pro01a,R@10,0.0
217,TerrierRetr(BM25),test-economy-epiasghbf-pro01a,R@100,1.0
218,TerrierRetr(BM25),test-economy-epiasghbf-pro01a,RR@10,0.0
213,TerrierRetr(BM25),test-economy-epiasghbf-pro02a,R@10,0.0
214,TerrierRetr(BM25),test-economy-epiasghbf-pro02a,R@100,1.0
215,TerrierRetr(BM25),test-economy-epiasghbf-pro02a,RR@10,0.0
321,TerrierRetr(BM25),test-economy-epsihbdns-con01a,R@10,1.0
322,TerrierRetr(BM25),test-economy-epsihbdns-con01a,R@100,1.0
323,TerrierRetr(BM25),test-economy-epsihbdns-con01a,RR@10,0.5
312,TerrierRetr(BM25),test-economy-epsihbdns-con02a,R@10,1.0
313,TerrierRetr(BM25),test-economy-epsihbdns-con02a,R@100,1.0
314,TerrierRetr(BM25),test-economy-epsihbdns-con02a,RR@10,0.1111111111111111
318,TerrierRetr(BM25),test-economy-epsihbdns-con03a,R@10,0.0
319,TerrierRetr(BM25),test-economy-epsihbdns-con03a,R@100,1.0
320,TerrierRetr(BM25),test-economy-epsihbdns-con03a,RR@10,0.0
315,TerrierRetr(BM25),test-economy-epsihbdns-con04a,R@10,1.0
316,TerrierRetr(BM25),test-economy-epsihbdns-con04a,R@100,1.0
317,TerrierRetr(BM25),test-economy-epsihbdns-con04a,RR@10,0.14285714285714285
309,TerrierRetr(BM25),test-economy-epsihbdns-pro01a,R@10,0.0
310,TerrierRetr(BM25),test-economy-epsihbdns-pro01a,R@100,0.0
311,TerrierRetr(BM25),test-economy-epsihbdns-pro01a,RR@10,0.0
276,TerrierRetr(BM25),test-economy-eptpghdtre-con03a,R@10,0.0
277,TerrierRetr(BM25),test-economy-eptpghdtre-con03a,R@100,1.0
278,TerrierRetr(BM25),test-economy-eptpghdtre-con03a,RR@10,0.0
273,TerrierRetr(BM25),test-economy-fiahwpamu-con01a,R@10,1.0
274,TerrierRetr(BM25),test-economy-fiahwpamu-con01a,R@100,1.0
275,TerrierRetr(BM25),test-economy-fiahwpamu-con01a,RR@10,0.5
270,TerrierRetr(BM25),test-economy-thhghwhwift-con03a,R@10,0.0
271,TerrierRetr(BM25),test-economy-thhghwhwift-con03a,R@100,1.0
272,TerrierRetr(BM25),test-economy-thhghwhwift-con03a,RR@10,0.0
267,TerrierRetr(BM25),test-economy-thhghwhwift-pro03a,R@10,1.0
268,TerrierRetr(BM25),test-economy-thhghwhwift-pro03a,R@100,1.0
269,TerrierRetr(BM25),test-economy-thhghwhwift-pro03a,RR@10,0.25
210,TerrierRetr(BM25),test-economy-thsptr-con03a,R@10,1.0
211,TerrierRetr(BM25),test-economy-thsptr-con03a,R@100,1.0
212,TerrierRetr(BM25),test-economy-thsptr-con03a,RR@10,0.5
207,TerrierRetr(BM25),test-economy-thsptr-pro01a,R@10,0.0
208,TerrierRetr(BM25),test-economy-thsptr-pro01a,R@100,1.0
209,TerrierRetr(BM25),test-economy-thsptr-pro01a,RR@10,0.0
0,TerrierRetr(BM25),test-environment-aeghhgwpe-con01a,R@10,0.0
1,TerrierRetr(BM25),test-environment-aeghhgwpe-con01a,R@100,1.0
2,TerrierRetr(BM25),test-environment-aeghhgwpe-con01a,RR@10,0.0
6,TerrierRetr(BM25),test-environment-aiahwagit-con03a,R@10,1.0
7,TerrierRetr(BM25),test-environment-aiahwagit-con03a,R@100,1.0
8,TerrierRetr(BM25),test-environment-aiahwagit-con03a,RR@10,0.25
3,TerrierRetr(BM25),test-environment-aiahwagit-con04a,R@10,1.0
4,TerrierRetr(BM25),test-environment-aiahwagit-con04a,R@100,1.0
5,TerrierRetr(BM25),test-environment-aiahwagit-con04a,RR@10,0.2
27,TerrierRetr(BM25),test-environment-chbwtlgcc-con01a,R@10,0.0
28,TerrierRetr(BM25),test-environment-chbwtlgcc-con01a,R@100,0.0
29,TerrierRetr(BM25),test-environment-chbwtlgcc-con01a,RR@10,0.0
24,TerrierRetr(BM25),test-environment-chbwtlgcc-con03a,R@10,1.0
25,TerrierRetr(BM25),test-environment-chbwtlgcc-con03a,R@100,1.0
26,TerrierRetr(BM25),test-environment-chbwtlgcc-con03a,RR@10,0.5
18,TerrierRetr(BM25),test-environment-chbwtlgcc-pro01a,R@10,1.0
19,TerrierRetr(BM25),test-environment-chbwtlgcc-pro01a,R@100,1.0
20,TerrierRetr(BM25),test-environment-chbwtlgcc-pro01a,RR@10,0.2
21,TerrierRetr(BM25),test-environment-chbwtlgcc-pro03a,R@10,1.0
22,TerrierRetr(BM25),test-environment-chbwtlgcc-pro03a,R@100,1.0
23,TerrierRetr(BM25),test-environment-chbwtlgcc-pro03a,RR@10,0.3333333333333333
15,TerrierRetr(BM25),test-environment-ehwsnwu-con01a,R@10,0.0
16,TerrierRetr(BM25),test-environment-ehwsnwu-con01a,R@100,1.0
17,TerrierRetr(BM25),test-environment-ehwsnwu-con01a,RR@10,0.0
9,TerrierRetr(BM25),test-environment-ehwsnwu-con02a,R@10,1.0
10,TerrierRetr(BM25),test-environment-ehwsnwu-con02a,R@100,1.0
11,TerrierRetr(BM25),test-environment-ehwsnwu-con02a,RR@10,0.125
12,TerrierRetr(BM25),test-environment-ehwsnwu-con03a,R@10,1.0
13,TerrierRetr(BM25),test-environment-ehwsnwu-con03a,R@100,1.0
14,TerrierRetr(BM25),test-environment-ehwsnwu-con03a,RR@10,0.3333333333333333
36,TerrierRetr(BM25),test-environment-opecewiahw-con01a,R@10,1.0
37,TerrierRetr(BM25),test-environment-opecewiahw-con01a,R@100,1.0
38,TerrierRetr(BM25),test-environment-opecewiahw-con01a,RR@10,0.125
30,TerrierRetr(BM25),test-environment-opecewiahw-pro01a,R@10,0.0
31,TerrierRetr(BM25),test-environment-opecewiahw-pro01a,R@100,1.0
32,TerrierRetr(BM25),test-environment-opecewiahw-pro01a,RR@10,0.0
33,TerrierRetr(BM25),test-environment-opecewiahw-pro03a,R@10,1.0
34,TerrierRetr(BM25),test-environment-opecewiahw-pro03a,R@100,1.0
35,TerrierRetr(BM25),test-environment-opecewiahw-pro03a,RR@10,0.14285714285714285
171,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con01a,R@10,1.0
172,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con01a,R@100,1.0
173,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con01a,RR@10,0.2
162,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con02a,R@10,1.0
163,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con02a,R@100,1.0
164,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con02a,RR@10,0.5
168,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con03a,R@10,0.0
169,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con03a,R@100,1.0
170,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con03a,RR@10,0.0
165,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con04a,R@10,0.0
166,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con04a,R@100,0.0
167,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-con04a,RR@10,0.0
153,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro02a,R@10,1.0
154,TerrierRetr(BM25),test-free-speech-debate-fsaphgiap-pro02a,R@100,1.0
